line,source,inputRms,inputPeak,outputRms,outputPeak,raw
946375,HL2SSMicrophoneClient,,,,,"test_microphone: packets=29081, regionSamples=2048, queuedSampleValues=1889280, sourcePlaying=True"
946382,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
946386,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=11470, sequence=11469, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
946400,HL2SSMicrophoneClient,,,,,"test_microphone: packets=29176, regionSamples=2048, queuedSampleValues=1891840, sourcePlaying=True"
946407,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
946411,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=11496, sequence=11495, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
946425,HL2SSMicrophoneClient,,,,,"test_microphone: packets=29271, regionSamples=2048, queuedSampleValues=1894400, sourcePlaying=True"
946432,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
946436,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=11522, sequence=11521, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
946450,HL2SSMicrophoneClient,,,,,"test_microphone: packets=29366, regionSamples=2048, queuedSampleValues=1896960, sourcePlaying=True"
946457,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
946461,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=11549, sequence=11548, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
946475,HL2SSMicrophoneClient,,,,,"test_microphone: packets=29460, regionSamples=2048, queuedSampleValues=1897472, sourcePlaying=True"
946482,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
946486,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=11577, sequence=11576, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
946500,HL2SSMicrophoneClient,,,,,"test_microphone: packets=29554, regionSamples=2048, queuedSampleValues=1897984, sourcePlaying=True"
946507,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
946511,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=11604, sequence=11603, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
946525,HL2SSMicrophoneClient,,,,,"test_microphone: packets=29648, regionSamples=2048, queuedSampleValues=1898496, sourcePlaying=True"
946532,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
946536,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=11631, sequence=11630, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
946550,HL2SSMicrophoneClient,,,,,"test_microphone: packets=29742, regionSamples=2048, queuedSampleValues=1899008, sourcePlaying=True"
946557,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
946561,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=11658, sequence=11657, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
946575,HL2SSMicrophoneClient,,,,,"test_microphone: packets=29836, regionSamples=2048, queuedSampleValues=1899520, sourcePlaying=True"
946582,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
946586,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=11686, sequence=11685, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
946600,HL2SSMicrophoneClient,,,,,"test_microphone: packets=29932, regionSamples=2048, queuedSampleValues=1904128, sourcePlaying=True"
946607,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
946611,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=11713, sequence=11712, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
946625,HL2SSMicrophoneClient,,,,,"test_microphone: packets=30026, regionSamples=2048, queuedSampleValues=1904640, sourcePlaying=True"
946632,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
946636,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=11741, sequence=11740, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
946650,HL2SSMicrophoneClient,,,,,"test_microphone: packets=30121, regionSamples=2048, queuedSampleValues=1907200, sourcePlaying=True"
946657,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
946661,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=11769, sequence=11768, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
946675,HL2SSMicrophoneClient,,,,,"test_microphone: packets=30215, regionSamples=2048, queuedSampleValues=1907712, sourcePlaying=True"
946682,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
946686,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=11797, sequence=11796, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
946700,HL2SSMicrophoneClient,,,,,"test_microphone: packets=30310, regionSamples=2048, queuedSampleValues=1910272, sourcePlaying=True"
946707,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
946711,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=11825, sequence=11824, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
946725,HL2SSMicrophoneClient,,,,,"test_microphone: packets=30404, regionSamples=2048, queuedSampleValues=1910784, sourcePlaying=True"
